frame_number,x,y
34582,131,168
34582,163,209
34587,199,139
34587,87,175
34587,229,140
34587,134,172
34587,150,217
34591,205,135
34591,84,160
34591,229,159
34591,133,174
34591,139,218
34599,218,133
34599,97,131
34599,220,198
34599,131,182
34599,115,219
34613,231,131
34613,118,113
34613,200,229
34613,128,190
34613,97,210
34635,246,144
34635,161,113
34635,149,242
34635,116,194
34635,74,180
34667,265,160
34667,146,104
34667,137,237
34667,88,174
34667,59,165
34696,280,152
34696,115,98
34696,142,233
34696,68,170
34696,54,183
34706,282,149
34706,111,102
34706,139,233
34706,62,173
34706,56,187
34731,281,153
34731,111,104
34731,130,239
34731,61,179
34731,75,173
34753,280,171
34753,116,104
34753,122,233
34753,58,169
34753,70,148
34761,274,175
34761,122,97
34761,120,232
34761,59,160
34761,75,150
34770,270,174
34770,128,90
34770,114,228
34770,62,155
34770,80,154
34785,264,169
34785,135,93
34785,108,226
34785,66,154
34785,87,166
34813,242,168
34813,134,93
34813,120,229
34813,83,159
34813,112,164
34825,229,171
34825,134,91
34825,126,230
34825,93,160
34825,129,159
34846,215,177
34846,134,92
34846,134,230
34846,107,155
34846,146,151
34865,194,177
34865,166,88
34865,118,219
34865,123,146
34865,164,159
34881,184,169
34881,195,98
34881,103,207
34881,135,148
34881,175,175
34892,179,164
34892,206,105
34892,102,203
34892,144,153
34892,180,186
34904,176,162
34904,216,111
34904,102,203
34904,151,160
34904,185,195
34931,160,141
34931,234,132
34931,99,188
34931,169,173
34931,191,214
34940,165,146
34940,238,133
34940,94,179
34940,165,164
34940,181,207
34958,172,160
34958,233,128
34958,93,180
34958,161,157
34958,180,201
35001,175,173
35001,236,125
35001,92,174
35001,161,144
35001,179,188
35037,175,175
35037,246,145
35037,93,148
35037,165,140
35037,164,185
35079,181,174
35079,236,190
35079,118,106
35079,173,142
35079,138,177
35112,202,169
35112,217,212
35112,133,98
35112,165,148
35112,119,174
35149,226,162
35149,186,226
35149,142,94
35149,138,159
35149,92,174
35183,245,169
35183,154,232
35183,158,94
35183,119,162
35183,73,159
35268,270,160
35268,156,219
35268,118,97
35268,84,157
35268,57,181
35367,283,174
35367,118,231
35367,137,97
35367,67,161
35367,62,149
35495,277,173
35495,110,224
35495,133,92
35495,61,154
35495,77,152
35600,254,158
35600,114,228
35600,135,95
35600,72,164
35600,91,165
35616,248,155
35616,115,230
35616,135,99
35616,75,168
35616,109,178
35759,193,173
35759,217,209
35759,88,143
35759,133,178
35759,159,134
35763,199,174
35763,229,188
35763,85,165
35763,135,177
35763,145,128
35774,213,182
35774,227,173
35774,83,178
35774,126,171
35774,129,125
35809,214,177
35809,218,126
35809,111,219
35809,141,169
35809,111,133
35858,212,176
35858,221,130
35858,109,216
35858,141,170
35858,115,134
35881,205,177
35881,228,157
35881,91,193
35881,139,170
35881,129,126
35891,204,178
35891,234,177
35891,83,177
35891,131,174
35891,137,128
35897,203,176
35897,212,205
35897,88,145
35897,124,175
35897,149,130
35905,204,173
35905,160,231
35905,121,102
35905,109,164
35905,160,149
35910,209,171
35910,147,231
35910,134,95
35910,109,161
35910,157,156
35923,222,169
35923,136,231
35923,136,92
35923,96,160
35923,134,160
35942,231,170
35942,164,230
35942,102,114
35942,92,170
35942,126,152
35948,233,170
35948,177,221
35948,92,128
35948,94,174
35948,123,140
35959,238,166
35959,183,214
35959,85,142
35959,90,182
35959,112,140
35999,254,157
35999,180,210
35999,87,156
35999,82,193
35999,89,150
36005,255,157
36005,183,200
36005,86,166
36005,84,195
36005,87,148
36009,255,157
36009,184,191
36009,90,180
36009,87,196
36009,84,149
36012,257,156
36012,199,179
36012,96,185
36012,87,197
36012,79,149
36016,259,156
36016,189,169
36016,98,191
36016,84,195
36016,75,149
36022,261,154
36022,190,157
36022,100,203
36022,87,193
36022,73,148
36026,263,156
36026,173,155
36026,107,211
36026,87,195
36026,69,152
36038,264,156
36038,169,148
36038,108,218
36038,86,195
36038,66,153
36065,267,152
36065,157,131
36065,120,230
36065,86,194
36065,61,162
36072,266,152
36072,151,120
36072,129,235
36072,88,192
36072,60,166
36082,269,148
36082,142,111
36082,141,240
36082,87,188
36082,56,172
36158,272,155
36158,146,120
36158,126,235
36158,81,187
36158,56,162
36387,283,161
36387,129,121
36387,124,231
36387,64,181
36387,54,152
36429,285,163
36429,126,119
36429,124,231
36429,64,181
36429,55,151
36455,283,165
36455,122,110
36455,124,232
36455,61,177
36455,56,152
36463,281,164
36463,122,93
36463,121,230
36463,62,159
36463,62,168
36468,282,167
36468,128,103
36468,121,199
36468,62,147
36468,57,179
36478,284,170
36478,133,132
36478,112,159
36478,66,138
36478,57,180
36481,283,171
36481,138,140
36481,111,148
36481,65,135
36481,53,182
36487,283,173
36487,129,159
36487,125,125
36487,71,132
36487,53,178
36493,283,179
36493,127,173
36493,130,111
36493,69,131
36493,52,171
36530,242,225
36530,145,180
36530,166,84
36530,121,99
36530,77,114
36550,209,227
36550,136,194
36550,206,90
36550,157,112
36550,108,96
36574,180,202
36574,107,192
36574,243,134
36574,176,150
36574,151,105
36581,176,186
36581,100,188
36581,247,152
36581,172,162
36581,158,112
36585,174,182
36585,97,181
36585,247,161
36585,171,167
36585,163,119
36598,177,155
36598,92,166
36598,240,195
36598,160,190
36598,171,139
36618,193,146
36618,95,136
36618,204,233
36618,133,202
36618,165,171
36631,209,139
36631,110,121
36631,172,243
36631,112,200
36631,155,183
36642,221,139
36642,123,109
36642,145,241
36642,103,189
36642,142,191
36656,236,149
36656,153,104
36656,109,223
36656,93,172
36656,126,193
36672,249,166
36672,166,101
36672,91,206
36672,84,148
36672,108,177
36702,261,199
36702,169,87
36702,86,195
36702,79,121
36702,86,140
36730,276,201
36730,139,97
36730,105,213
36730,65,140
36730,72,119
36767,280,182
36767,123,143
36767,116,200
36767,62,170
36767,62,123
36770,282,177
36770,128,157
36770,119,194
36770,60,176
36770,59,126
36778,282,169
36778,129,164
36778,126,194
36778,63,183
36778,59,134
36824,282,168
36824,133,172
36824,133,184
36824,63,184
36824,60,136
36872,281,168
36872,136,184
36872,136,176
36872,65,185
36872,61,138
36877,281,165
36877,112,200
36877,137,160
36877,69,186
36877,55,139
36898,277,161
36898,118,233
36898,138,122
36898,70,184
36898,49,153
37008,262,164
37008,118,233
37008,164,117
37008,94,178
37008,61,150
37022,257,163
37022,158,228
37022,136,92
37022,105,161
37022,67,172
37035,251,166
37035,173,216
37035,125,95
37035,108,151
37035,70,176
37088,231,181
37088,115,223
37088,201,112
37088,127,163
37088,91,132
37100,227,185
37100,85,193
37100,212,153
37100,120,167
37100,112,119
37106,225,187
37106,84,173
37106,218,172
37106,117,166
37106,119,118
37109,224,185
37109,78,166
37109,217,180
37109,114,166
37109,123,116
37115,220,184
37115,83,151
37115,210,192
37115,113,166
37115,129,119
37135,220,176
37135,84,148
37135,203,203
37135,110,174
37135,130,129
37180,226,157
37180,81,160
37180,205,207
37180,109,193
37180,119,147
37258,228,153
37258,82,172
37258,211,198
37258,113,202
37258,116,153
37295,224,166
37295,80,175
37295,212,190
37295,114,190
37295,118,139
37402,226,163
37402,124,97
37402,141,234
37402,98,167
37402,133,165
37442,240,170
37442,119,97
37442,134,233
37442,86,163
37442,118,155
37464,245,173
37464,108,104
37464,143,231
37464,86,166
37464,111,145
37500,250,178
37500,89,132
37500,167,214
37500,82,171
37500,104,130
37536,255,175
37536,83,165
37536,176,191
37536,87,180
37536,87,129
37552,254,173
37552,82,176
37552,181,181
37552,89,181
37552,87,132
37622,252,170
37622,92,202
37622,190,155
37622,99,183
37622,81,136
37696,228,158
37696,126,234
37696,198,121
37696,136,183
37696,94,154
37717,217,157
37717,125,233
37717,207,124
37717,143,188
37717,103,156
37739,207,154
37739,124,233
37739,217,127
37739,152,191
37739,112,159
37753,200,153
37753,123,231
37753,223,127
37753,158,194
37753,120,160
37786,184,147
37786,122,229
37786,233,135
37786,174,197
37786,135,162
37846,161,138
37846,126,230
37846,246,147
37846,196,209
37846,175,177
37867,153,136
37867,128,230
37867,251,149
37867,204,213
37867,173,174
37988,112,147
37988,176,242
37988,244,119
37988,244,193
37988,213,173
38009,104,151
38009,177,238
38009,245,119
38009,250,190
38009,221,167
38047,90,156
38047,179,234
38047,249,123
38047,262,189
38047,240,159
38133,68,163
38133,191,222
38133,245,138
38133,273,185
38133,266,145
38220,63,172
38220,208,215
38220,230,139
38220,280,179
38220,278,136
38276,60,175
38276,218,212
38276,219,137
38276,281,176
38276,280,133
38356,60,178
38356,234,212
38356,201,133
38356,277,170
38356,283,128
38527,87,184
38527,240,218
38527,157,122
38527,245,166
38527,267,128
38609,116,183
38609,227,221
38609,136,113
38609,215,161
38609,246,129
38656,137,185
38656,220,219
38656,122,114
38656,191,156
38656,226,127
38668,143,187
38668,222,216
38668,115,115
38668,185,154
38668,219,124
38699,153,186
38699,228,209
38699,106,127
38699,176,157
38699,206,119
38776,170,180
38776,241,193
38776,92,155
38776,168,167
38776,182,122
38804,172,175
38804,239,193
38804,92,157
38804,167,174
38804,179,128
38858,175,170
38858,243,186
38858,90,169
38858,166,178
38858,171,130
39143,175,175
39143,246,181
39143,93,175
39143,169,178
39143,168,129
39250,176,178
39250,247,172
39250,93,178
39250,168,170
39250,166,126
39578,175,173
39578,247,175
39578,93,181
39578,171,177
39578,166,130
39658,174,170
39658,246,178
39658,94,180
39658,169,179
39658,168,132
39758,173,166
39758,243,183
39758,93,176
39758,168,185
39758,169,136
39966,175,160
39966,247,179
39966,94,187
39966,168,190
39966,166,144
40083,174,160
40083,246,179
40083,93,187
40083,170,193
40083,166,145
40231,172,165
40231,244,187
40231,92,175
40231,167,189
40231,170,139
40649,178,171
40649,244,178
40649,92,177
40649,165,180
40649,164,133
40685,181,164
40685,242,181
40685,91,182
40685,162,186
40685,160,139
40715,184,163
40715,241,181
40715,91,185
40715,160,188
40715,156,141
40752,194,166
40752,236,179
40752,89,182
40752,152,185
40752,147,138
40762,196,169
40762,236,176
40762,87,181
40762,147,180
40762,145,133
40771,201,174
40771,234,177
40771,86,180
40771,141,177
40771,139,131
40779,207,175
40779,237,174
40779,78,179
40779,131,175
40779,132,129
40797,249,181
40797,191,168
40797,84,183
40797,93,170
40797,92,123
40802,270,179
40802,162,161
40802,96,188
40802,72,171
40802,69,124
40805,280,176
40805,143,161
40805,107,193
40805,64,177
40805,60,131
40808,283,175
40808,122,160
40808,125,193
40808,62,181
40808,58,131
40811,278,168
40811,116,165
40811,146,196
40811,69,186
40811,63,138
40830,222,154
40830,85,182
40830,216,190
40830,120,199
40830,119,150
40845,204,161
40845,86,180
40845,229,186
40845,138,193
40845,139,142
40877,186,168
40877,91,178
40877,237,181
40877,154,182
40877,153,133
